ticks,BlackDaisy,WhiteDaisy
0,450,450,
1,430,465,
2,413,479,
3,399,498,
4,389,508,
5,372,525,
6,352,543,
7,333,561,
8,311,586,
9,290,603,
10,265,630,
11,250,648,
12,232,665,
13,214,680,
14,199,698,
15,186,712,
16,170,729,
17,159,738,
18,141,758,
19,121,776,
20,96,801,
21,80,815,
22,59,834,
23,39,851,
24,16,877,
25,2,891,
26,2,896,
27,1,865,
28,0,865,
29,0,866,
30,0,867,
31,0,867,
32,0,860,
33,0,870,
34,0,867,
35,0,853,
36,0,851,
37,0,878,
38,0,868,
39,0,867,
40,0,869,
41,0,877,
42,0,861,
43,0,872,
44,0,862,
45,0,863,
46,0,865,
47,0,868,
48,0,869,
49,0,865,
50,0,864,
51,0,876,
52,0,894,
53,0,872,
54,0,871,
55,0,875,
56,0,863,
57,0,876,
58,0,858,
59,0,864,
60,0,875,
61,0,867,
62,0,862,
63,0,875,
64,0,862,
65,0,865,
66,0,869,
67,0,865,
68,0,869,
69,0,870,
70,0,865,
71,0,857,
72,0,863,
73,0,865,
74,0,865,
75,0,866,
76,0,866,
77,0,878,
78,0,889,
79,0,874,
80,0,869,
81,0,879,
82,0,869,
83,0,864,
84,0,868,
85,0,862,
86,0,870,
87,0,868,
88,0,868,
89,0,869,
90,0,858,
91,0,873,
92,0,869,
93,0,876,
94,0,871,
95,0,855,
96,0,859,
97,0,864,
98,0,866,
99,0,868,
100,0,863,
101,0,870,
102,0,858,
103,0,868,
104,0,887,
105,0,874,
106,0,870,
107,0,877,
108,0,879,
109,0,869,
110,0,862,
111,0,865,
112,0,861,
113,0,867,
114,0,870,
115,0,879,
116,0,864,
117,0,867,
118,0,867,
119,0,858,
120,0,873,
121,0,863,
122,0,857,
123,0,869,
124,0,856,
125,0,867,
126,0,867,
127,0,872,
128,0,850,
129,0,875,
130,0,887,
131,0,880,
132,0,869,
133,0,866,
134,0,873,
135,0,867,
136,0,860,
137,0,872,
138,0,864,
139,0,868,
140,0,866,
141,0,876,
142,0,865,
143,0,866,
144,0,873,
145,0,868,
146,0,874,
147,0,868,
148,0,847,
149,0,871,
150,0,866,
151,0,865,
152,0,872,
153,0,873,
154,0,857,
155,0,854,
156,0,878,
157,0,885,
158,0,873,
159,0,872,
160,0,878,
161,0,871,
162,0,855,
163,0,862,
164,0,863,
165,0,871,
166,0,856,
167,0,865,
168,0,871,
169,0,867,
170,0,878,
171,0,873,
172,0,873,
173,0,881,
174,0,846,
175,0,851,
176,0,853,
177,0,862,
178,0,871,
179,0,884,
180,0,855,
181,0,852,
182,0,867,
183,0,879,
184,0,880,
185,0,866,
186,0,870,
187,0,881,
188,0,854,
189,0,866,
190,0,862,
191,0,872,
192,0,856,
193,0,868,
194,0,870,
195,0,861,
196,0,857,
197,0,876,
198,0,867,
199,0,874,
200,0,860,
201,0,854,
202,0,863,
203,0,855,
204,0,859,
205,0,871,
206,0,872,
207,0,849,
208,0,867,
209,0,874,
210,0,873,
211,0,871,
212,0,869,
213,0,875,
214,0,865,
215,0,869,
216,0,864,
217,0,860,
218,0,864,
219,0,858,
220,0,868,
221,0,879,
222,0,857,
223,0,870,
224,0,874,
225,0,871,
226,0,868,
227,0,850,
228,0,857,
229,0,848,
230,0,858,
231,0,881,
232,0,880,
233,0,856,
234,0,869,
235,0,879,
236,0,870,
237,0,870,
238,0,870,
239,0,877,
240,0,867,
241,0,864,
242,0,876,
243,0,853,
244,0,868,
245,0,871,
246,0,853,
247,0,883,
248,0,867,
249,0,861,
250,0,869,
251,0,877,
252,0,863,
253,0,862,
254,0,866,
255,0,851,
256,0,856,
257,0,875,
258,0,876,
259,0,864,
260,0,864,
261,0,875,
262,0,877,
263,0,876,
264,0,869,
265,0,874,
266,0,870,
267,0,856,
268,0,874,
269,0,858,
270,0,856,
271,0,870,
272,0,856,
273,0,874,
274,0,872,
275,0,864,
276,0,876,
277,0,875,
278,0,865,
279,0,873,
280,0,863,
281,0,860,
282,0,840,
283,0,868,
284,0,874,
285,0,866,
286,0,861,
287,0,871,
288,0,879,
289,0,871,
290,0,870,
291,0,877,
292,0,870,
293,0,864,
294,0,861,
295,0,872,
296,0,852,
297,0,872,
298,0,857,
299,0,869,
300,0,873,
301,0,859,
302,0,874,
303,0,875,
304,0,861,
305,0,870,
306,0,870,
307,0,853,
308,0,853,
309,0,848,
310,0,861,
311,0,860,
312,0,870,
313,0,870,
314,0,868,
315,0,869,
316,0,866,
317,0,883,
318,0,872,
319,0,869,
320,0,858,
321,0,868,
322,0,854,
323,0,866,
324,0,866,
325,0,866,
326,0,867,
327,0,868,
328,0,868,
329,0,878,
330,0,875,
331,0,856,
332,0,866,
333,0,862,
334,0,863,
335,0,857,
336,0,860,
337,0,851,
338,0,872,
339,0,875,
340,0,876,
341,0,881,
342,0,866,
343,0,871,
344,0,884,
345,0,869,
346,0,868,
347,0,860,
348,0,851,
349,0,859,
350,0,858,
351,0,866,
352,0,872,
353,0,864,
354,0,862,
355,0,873,
356,0,881,
357,0,869,
358,0,864,
359,0,864,
360,0,866,
361,0,856,
362,0,869,
363,0,856,
364,0,857,
365,0,870,
366,0,868,
367,0,877,
368,0,869,
369,0,865,
370,0,877,
371,0,870,
372,0,864,
373,0,871,
374,0,863,
375,0,856,
376,0,858,
377,0,859,
378,0,875,
379,0,877,
380,0,854,
381,0,868,
382,0,879,
383,0,866,
384,0,863,
385,0,864,
386,0,867,
387,0,857,
388,0,866,
389,0,860,
390,0,866,
391,0,860,
392,0,858,
393,0,879,
394,0,871,
395,0,868,
396,0,876,
397,0,873,
398,0,871,
399,0,869,
400,0,872,
401,0,857,
402,0,847,
403,0,850,
404,0,859,
405,0,877,
406,0,864,
407,0,872,
408,0,886,
409,0,874,
410,0,867,
411,0,871,
412,0,866,
413,0,852,
414,0,868,
415,0,861,
416,0,861,
417,0,867,
418,0,856,
419,0,870,
420,0,869,
421,0,869,
422,0,869,
423,0,879,
424,0,868,
425,0,863,
426,0,875,
427,0,863,
428,0,857,
429,0,854,
430,0,865,
431,0,872,
432,0,860,
433,0,861,
434,0,882,
435,0,876,
436,0,870,
437,0,865,
438,0,876,
439,0,861,
440,0,861,
441,0,861,
442,0,857,
443,0,870,
444,0,855,
445,0,870,
446,0,881,
447,0,866,
448,0,867,
449,0,870,
450,0,865,
451,0,854,
452,0,879,
453,0,868,
454,0,858,
455,0,859,
456,0,859,
457,0,871,
458,0,864,
459,0,861,
460,0,875,
461,0,885,
462,0,867,
463,0,863,
464,0,872,
465,0,860,
466,0,855,
467,0,867,
468,0,865,
469,0,861,
470,0,867,
471,0,865,
472,0,880,
473,0,877,
474,0,872,
475,0,870,
476,0,866,
477,0,850,
478,0,873,
479,0,869,
480,0,851,
481,0,862,
482,0,859,
483,0,880,
484,0,866,
485,0,848,
486,0,872,
487,0,888,
488,0,879,
489,0,867,
490,0,872,
491,0,872,
492,0,850,
493,0,867,
494,0,866,
495,0,870,
496,0,872,
497,0,856,
498,0,868,
499,0,873,
500,0,878,
501,0,879,
502,0,870,
503,0,851,
504,0,863,
505,0,879,
506,0,853,
507,0,857,
508,0,858,
509,0,864,
510,0,878,
511,0,854,
512,0,852,
513,0,883,
514,0,891,
515,0,870,
516,0,868,
517,0,880,
518,0,852,
519,0,859,
520,0,862,
521,0,858,
522,0,874,
523,0,863,
524,0,863,
525,0,871,
526,0,872,
527,0,873,
528,0,876,
529,0,858,
530,0,857,
531,0,874,
532,0,860,
533,0,844,
534,0,865,
535,0,867,
536,0,869,
537,0,865,
538,0,844,
539,0,871,
540,0,888,
541,0,876,
542,0,865,
543,0,868,
544,0,863,
545,0,857,
546,0,869,
547,0,855,
548,0,874,
549,0,867,
550,0,870,
551,0,868,
552,0,879,
553,0,870,
554,0,875,
555,0,860,
556,0,860,
557,0,866,
558,0,873,
559,0,862,
560,0,856,
561,0,873,
562,0,875,
563,0,866,
564,0,854,
565,0,861,
566,0,875,
567,0,869,
568,0,874,
569,0,878,
570,0,850,
571,0,848,
572,0,864,
573,0,856,
574,0,862,
575,0,874,
576,0,866,
577,0,869,
578,0,873,
579,0,875,
580,0,872,
581,0,863,
582,0,860,
583,0,866,
584,0,863,
585,0,855,
586,0,854,
587,0,874,
588,0,870,
589,0,866,
590,0,853,
591,0,847,
592,0,867,
593,0,872,
594,0,882,
595,0,871,
596,0,863,
597,0,853,
598,0,857,
